FID,objectid,mp_id,name,adresse,anz_stellpl_cs,anz_stellpl_taxi,anzahl_ladepunkte_ac,anzahl_ladepunkte_dc,gaf_ts_vorhanden,gaf_bs_vorhanden,gaf_ls_vorhanden,gaf_ms_vorhanden,ods_vorhanden,bus_vorhanden,tram_vorhanden,u_bahn_vorhanden,s_bahn_vorhanden,radservicestation_vorhanden,radpumpe_vorhanden,bearbeitung_datum,shape
ruhver_mp_standort_point.1,146,601,Implerstraße,Implerstraße 36,6,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260224,POINT (689635.4354007955 5332880.328598097)
ruhver_mp_standort_point.2,12,14,Kidlerplatz,"Kidlerplatz 8, 58
Kidlerplatz 8, 58
",7,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260224,POINT (689153.0819007854 5332426.969498126)
ruhver_mp_standort_point.3,43,57,Aubing,Colmdorfstraße 34,3,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,20260227,POINT (679535.838700605 5336412.171998595)
ruhver_mp_standort_point.4,7,1,Galeriestraße,Galeriestraße 2 - 6,7,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260317,POINT (691809.5289008417 5335555.254597955)
ruhver_mp_standort_point.5,33,47,Quiddestraße,Siegfried-Mollier-Straße,4,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260227,POINT (697008.6855009613 5331563.970797594)
ruhver_mp_standort_point.6,93,303,Königinstraße,Königinstraße 37,5,Nein,0,0,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,20260227,POINT (692223.6577008506 5336197.452097927)
ruhver_mp_standort_point.7,133,410,Mildred-Scheel-Bogen,Isoldenstraße 41,6,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,20260227,POINT (691915.2059008435 5339049.708197943)
ruhver_mp_standort_point.8,16,21,Heimeranplatz,Trappentreustraße 46 - 48,6,Nein,0,0,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Nein,20260227,POINT (688514.7949007725 5334270.849498159)
ruhver_mp_standort_point.9,96,306,Hochschule München,Lothstraße 64,5,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,20260305,POINT (690080.9895008043 5336721.556698062)
ruhver_mp_standort_point.10,2,9,"St. Jakobs-Platz
",St.-Jakobs-Platz 12,7,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,20260305,POINT (691437.5343008342 5334377.065397983)
